OverallRating,ReviewHeader,ReviewBody,cleaned_review,SeatComfort
3,"""left on your own and nobody cares""","The customer services (call centres etc) are atrocious and sometimes callous. They just don’t care. Long waits to speak to anybody, who then have no power to actually solve anything, and the calls just cut halfway without resolution anyway. If the flights are cancelled (as were my original ones) you’re really left on your own and nobody cares. The onboard services are so-so but for short haul it’s now “semi-low cost” which is confusing as you never know what to expect. This time we were given a bottle of water and a (very) small snack, whilst anything else had to be paid for. And yet on some other flights apparently you have to pre-order any additional food. It’s confusing, which makes it not dependable. Cabin baggage is in theory generous compared to competitors in economy but then they asked more than half the passengers on this flight to check in the cabin baggage at the gate due to lack of space in the overhead cabins, leading to long boarding delays. Their whole offering hasn’t been thought through very well . The USB power supply did not work throughout the flight (contrary to the announcement that the power be available after the seatbelt sight was turned off ) so it was pointless providing the sockets in the first place. Not my first choice airline on this route and am just trying to use up most of my Avios points before I totally abandon them. I fail to see how it is deemed a 4 star airline.",customer services call centres atrocious sometimes callous They just don’t care Long waits speak anybody then have power actually solve anything calls just halfway without resolution anyway flights cancelled were original ones you’re really left your nobody cares onboard services soso short haul it’s “semilow cost” which confusing never know what expect This time were given bottle water very small snack whilst anything else paid some other flights apparently have preorder additional food It’s confusing which makes dependable Cabin baggage theory generous compared competitors economy then they asked more than half passengers this flight check cabin baggage gate lack space overhead cabins leading long boarding delays Their whole offering hasn’t been thought through very well power supply work throughout flight contrary announcement that power available after seatbelt sight turned pointless providing sockets first place first choice airline this route just trying most Avios points before totally abandon them fail deemed star airline,2
1,"""some sort of medieval torture""","They downgraded me from business to premium economy. They took three months to get back to me and offered me 200 pounds or 400 AUD. The difference between business class and premium economy (which I never fly) is $3000 AUD and the difference between economy and business is $6500 AUD. They owe me at least 1500 pounds and to be very fair 3250 pounds. The downgrade was insulting and incredibly painful as I had a recent cancer operation and have a back injury which I have pointed out to them - I need to lie down. The wait for them to get around to me has been numbing. The insult of their offer has been the slap in the face to continue my degradation. The people I have dealt with at the airport have been down to earth, honest hard working people. The actual staff on the plane were warm and friendly - and helpful. The systems under which BA operates are some sort of medieval torture.",They downgraded from business premium economy They took three months back offered pounds difference between business class premium economy which never difference between economy business They least pounds very fair pounds downgrade insulting incredibly painful recent cancer operation have back injury which have pointed them need down wait them around been numbing insult their offer been slap face continue degradation people have dealt with airport have been down earth honest hard working people actual staff plane were warm friendly helpful systems under which operates some sort medieval torture,1
1,"""Never again BA"" ","The already delayed aircraft landed and apart from the small BA logo on the rear of the fuselage, there was no indication as to whom the carrier really was. Boarding turned into a farce with passenger groups being told to wait in one queue in order to board, only to be informed we were on the wrong place and our boarding wasn't allowed yet. The interior cabin was reminiscent of a BA cabin from twenty years earlier except the tight legroom and uncomfortable seating which made a budget airline feel luxurious. The crew were not BA but from an unknown charter company. Service was slow, and as usual, choices of food to purchase ran out before they'd reached row 24. I requested a cup of tea which never appeared. Thank goodness for my airport purchased water and the tiny offering of pretzels. The over officious senior flight attendant, who'd been facilitating in 'Club Europe' appeared in economy and immediately slammed down the armrests (whilst still in mid flight) making an already uncomfortable journey feel worse. ""Cattle class"" was definitely that! To say I was happy to land and disembark was an understatement. Never again BA, never again!",already delayed aircraft landed apart from small logo rear fuselage there indication whom carrier really Boarding turned into farce with passenger groups being told wait queue order board only informed were wrong place boarding wasnt allowed interior cabin reminiscent cabin from twenty years earlier except tight legroom uncomfortable seating which made budget airline feel luxurious crew were from unknown charter company Service slow usual choices food purchase before theyd reached requested which never appeared Thank goodness airport purchased water tiny offering pretzels over officious senior flight attendant whod been facilitating Club Europe appeared economy immediately slammed down armrests whilst still flight making already uncomfortable journey feel worse Cattle class definitely that happy land disembark understatement Never again never again,1
2,"""BA Gatwick are not BA"" ","Caught up in the Gatwick cancellation fiasco; at some point between what was smooth check in (unable to do online as part of group travel) and security, the flight was cancelled; (we were denied entry to security and departures as a result). It was at this point that we discovered BA Gatwick are not BA, but a masquerade, who are unable to help and and provide very little assistance unless the 'real BA' provide information, and even though our baggage was now airside, didn't have a clue as to how we could get it back. It is, however, with thanks to a supervisor from Business Class check in, who came to our assistance and help with our predicament- baggage retrieval, information on what to claim and how, and our revised BA flight from LHR the following evening. (Difficult to give a rating for cabin service as we didn't even board the aircraft)",Caught Gatwick cancellation fiasco some point between what smooth check unable online part group travel security flight cancelled were denied entry security departures result this point that discovered Gatwick masquerade unable help provide very little assistance unless real provide information even though baggage airside didnt have clue could back however with thanks supervisor from Business Class check came assistance help with predicament baggage retrieval information what claim revised flight from following evening Difficult give rating cabin service didnt even board aircraft,
1,"""Boarding flight took an hour"" ","BA has a real problem with boarding it's flights. Those who get on first fill the luggage bins with 2 bags, one of which is supposed to be small and under seat only. Cabin staff don't bother implementing their own rules. Subsequent passengers mill up and down the aisle, bumping into each other, searching for space. Boarding this flight took an hour as a result of this nonsense. The incoming flight was late already so our 90 minute flight was 90 minutes late.",real problem with boarding flights Those first fill luggage bins with bags which supposed small under seat only Cabin staff dont bother implementing their rules Subsequent passengers mill down aisle bumping into each other searching space Boarding this flight took hour result this nonsense incoming flight late already minute flight minutes late,3
1,"""our luggage was soaking wet""",Our connecting flight from London to Glasgow was canceled and we were forced to wait 12 hours in the airport for a new flight. When we received our luggage at Glasgow we discovered that our luggage was soaking wet. My wife’s luggage contents were wet and had to be air dried.,connecting flight from London Glasgow canceled were forced wait hours airport flight When received luggage Glasgow discovered that luggage soaking wife’s luggage contents were dried,3
1,"""The worst airline I have ever flown""","The worst airline I have ever flown with. Allocated the very back row next to the toilets and galley. No chance of getting any sleep, question asked of possible seat movement ignored and getting bumped the entire time by cabin crew walking or pushing kart up and down aisle without one apology. Would have been better sitting in the luggage compartment.",worst airline have ever flown with Allocated very back next toilets galley chance getting sleep question asked possible seat movement ignored getting bumped entire time cabin crew walking pushing kart down aisle without apology Would have been better sitting luggage compartment,1
2,"""BA standards continue to decline""","BA standards continue to decline every time I fly with them. This time, a 45 min late departure, which seems the norm for BA, and no information from the rude and clueless boarding gate staff. The Club lounge was overcrowded, dirty and grubby and cleaning staff could not cope. How many more cutbacks is BA going to apply before they become truly low cost. As a 35 year veteran user of BA, while people complained of Alex Cruz cutting costs, the past 3 years has seen them decline very quickly under their latest CEO. One reads the occasional article about BA improving things, but I have yet to see anything substantive. There seem to be few British staff left amongst the cabin crew, so maybe time for a name change and give the flag carrier status to a proper low-cost - and sadly the staff service has declined year on year. Onboard, the catering remains poor and surprised that Do&Co can produce such rubbish meals when I have sampled their Turkish Airlines equivalent in August that was superb - guessing BA are too tight with their budget. Onboard WiFi service is a joke and should be avoided.",standards continue decline every time with them This time late departure which seems norm information from rude clueless boarding gate staff Club lounge overcrowded dirty grubby cleaning staff could cope many more cutbacks going apply before they become truly cost year veteran user while people complained Alex Cruz cutting costs past years seen them decline very quickly under their latest reads occasional article about improving things have anything substantive There seem British staff left amongst cabin crew maybe time name change give flag carrier status proper lowcost sadly staff service declined year year Onboard catering remains poor surprised that DoCo produce such rubbish meals when have sampled their Turkish Airlines equivalent August that superb guessing tight with their budget Onboard WiFi service joke should avoided,2
3,"""Not a reliable airline""","Not a reliable airline. You cannot trust the timing at all. I had a 6.45am flight, boarding was on time, but then we are sitting in the plane for already (1.5 hours) and the expected departure is still not clear. They have discovered the engine is not working! I am risking to be late for a business meeting in Geneva. How come they bring a not working plane to the gate. The funny thing is that I had another business trip in spring 2023, also with BA to Amsterdam. When I arrived to the Airport that time - I was told I don't have a seat. I was put on the next flight in several hours, which should have get me to the business meeting late, but still not too much. A lot of stress. In the end, on the second plane we were sitting in the cabin for 1.5 hours and I have missed the meeting. I thought it was a dramatic unlucky case that time, but today I see it's routine for BA not to fly on time.",reliable airline cannot trust timing 645am flight boarding time then sitting plane already hours expected departure still clear They have discovered engine working risking late business meeting Geneva come they bring working plane gate funny thing that another business trip spring also with Amsterdam When arrived Airport that time told dont have seat next flight several hours which should have business meeting late still much stress second plane were sitting cabin hours have missed meeting thought dramatic unlucky case that time today routine time,4
1,"""It is a national disgrace""","I take comfort in reading the last ten or so reviews to see I'm not the only traveller to put in words, how absolutely abysmal British Airways are! The only reason we are stuck using this awful airline is to use up points. We booked Club Europe months ago. London to Athens, sat in row 3 and told they had run out of food options, only choice was lentil pie or green curry. Returning Athens to London Club Europe. Couldn't check in online as promised so arrived at the airport 3hrs early. To be told they had overbooked the flight and basically we were being 'bumped' to economy. This airline fails to deliver time and time again. It is a national disgrace and I implore everyone to choose an alternative. ",take comfort reading last reviews only traveller words absolutely abysmal British Airways only reason stuck using this awful airline points booked Club Europe months London Athens told they food options only choice lentil green curry Returning Athens London Club Europe Couldnt check online promised arrived airport 3hrs early told they overbooked flight basically were being bumped economy This airline fails deliver time time again national disgrace implore everyone choose alternative,1
3,"""The worst journey in my life""","The worst journey in my life. The connection time at LHR was only 1 hour, but the flight from MXP was on delay. I had to rush to change terminal by train and arrived risking a heart attack. After that the plane just stayed there for another 40 minutes. Despite that, upon arrival at SJC my baggage was lost. I filled the form and gave to the employee. I was not given any receipt, so I did not have any reference number. BA phone number at SJC simply never answer. I called twice the toll free number and realized they did not record the delivery address. I had to enter myself online, dealing with a shitty website. They delivered the baggage three days later. I claimed for compensation online, as I had to buy clothes and other stuff and I did never get a receipt. I was expecting an upgrade for the flight back to MXP, but nothing happened, neither they allowed me to enter BA lounge at SJC. Bad customer service. The only positive side was price, but obviously this cannot justify this treatment and if I knew , I would never flown by BA. Never again!",worst journey life connection time only hour flight from delay rush change terminal train arrived risking heart attack After that plane just stayed there another minutes Despite that upon arrival baggage lost filled form gave employee given receipt have reference number phone number simply never answer called twice toll free number realized they record delivery address enter myself online dealing with shitty website They delivered baggage three days later claimed compensation online clothes other stuff never receipt expecting upgrade flight back nothing happened neither they allowed enter lounge customer service only positive side price obviously this cannot justify this treatment knew would never flown Never again,3
4,"""Very disappointed""","The airplanes and the lounges are worn out, old and broken. From Dallas to Heathrow, multiple first class seating and electronics were non functional and poorly designed. The first class seating from Heathrow to Dubrovnik was nothing more than a tray blocking the middle seat of a standard coach ticket. Very disappointed.",airplanes lounges worn broken From Dallas Heathrow multiple first class seating electronics were functional poorly designed first class seating from Heathrow Dubrovnik nothing more than tray blocking middle seat standard coach ticket Very disappointed,1
1,"""the service was shockingly bad""","One of the worst experiences on the worst airline. The flight was delayed due to earlier technical issues. The time slipped from 17:00 to 20:00 to 22:00 and finally cancelled. There was zero information given. Despite paying well over the odds for business class, we were booted out of the BA lounge two hours before the flight. When it was finally cancelled, the BA staff. Without explanation, told everyone to go to a gate. After another hour or so they made us re enter the UK via passport control, a further 40 minute wait. By now the airport was closing and there was no sign of our bags or any help from BA. A passing Gatwick engineer finally helped us locate the bags. BA completely washed their hands of us and in contravention of CAA rules refused to find us accommodation. Many slept in a bus stop overnight. There were people with young children who couldn’t find somewhere to stay and yet BA had closed down and left. The following day the replacement flight was also late and due to an admin mistake had no catering or liquids for a 2 1/2 hr flight. Overall the service was shockingly bad, the worst I have experienced from any airline. I will not ever use them again.",worst experiences worst airline flight delayed earlier technical issues time slipped from finally cancelled There zero information given Despite paying well over odds business class were booted lounge hours before flight When finally cancelled staff Without explanation told everyone gate After another hour they made enter passport control further minute wait airport closing there sign bags help from passing Gatwick engineer finally helped locate bags completely washed their hands contravention rules refused find accommodation Many slept stop overnight There were people with young children couldn’t find somewhere stay closed down left following replacement flight also late admin mistake catering liquids flight Overall service shockingly worst have experienced from airline will ever them again,2
1,"""Never again will I fly BA""","Cancelled our flight last-minute then moved us onto a flight 2 days later operated by Japan Airlines. We had paid a lot extra for extra legroom seats as I am very tall and they assigned me a middle seat deep in the middle of the plane. Because it was operated by a different airline but booked by BA, neither BA nor the other airline could change my seat over the phone despite seats being available. After 4 hours of waiting in queues and sitting on hold their solution was for me to arrive early at the airport. I did but the seats had already been given away for free by people who had booked directly with that airline and could check in online. I got a £10 meal voucher as compensation for this enormous downgrade on a 14 hour flight. Never again will I fly BA. I would rather fly indirect with better airlines than use this disgrace of an airline again.",Cancelled flight lastminute then moved onto flight days later operated Japan Airlines paid extra extra legroom seats very tall they assigned middle seat deep middle plane Because operated different airline booked neither other airline could change seat over phone despite seats being available After hours waiting queues sitting hold their solution arrive early airport seats already been given away free people booked directly with that airline could check online meal voucher compensation this enormous downgrade hour flight Never again will would rather indirect with better airlines than this disgrace airline again,1
1,"""never fly this awful airline again"" ","I had a flight from Miami, Florida to Dublin, Ireland, via London's Heathrow airport. The outbound flight from Miami was delayed and we were further delayed when our gate was occupied when we arrived in Heathrow. The total delay was roughly an hour, but it was enough to make our connection a challenge, where we had 73 minutes between original arrival time until the departure time to Dublin. When we headed to our connection flight, we were stopped by security personnel at a checkpoint and told us that the gate to our connection flight had already closed. This was twenty minutes prior to departure time. They ushered us to customer service to be rebooked. Given the busy weekend of travel, we were rebooked on a flight at a different airport and were told that our cost to get there would be reimbursed. We then waited 3 hours for our luggage, and then took a cab to London's City Airport. The cab fare was roughly $500. When I filed a claim with British Airways, they refused the claim and told me that we had plenty of time to make our connecting flight and therefore they denied my claim to be reimbursed for the cab fare. This is after I explained that it was British Airways employees who ushered us to rebook the flight despite the 20 minute timeframe to make the connecting flight. The person who rebooked us, told us it was policy that they close the gate 20 minutes prior to departure. I will never fly this awful airline again. Given the other feedback on this site, it appears that that is the overwhelming sentiment.",flight from Miami Florida Dublin Ireland Londons Heathrow airport outbound flight from Miami delayed were further delayed when gate occupied when arrived Heathrow total delay roughly hour enough make connection challenge where minutes between original arrival time until departure time Dublin When headed connection flight were stopped security personnel checkpoint told that gate connection flight already closed This twenty minutes prior departure time They ushered customer service rebooked Given busy weekend travel were rebooked flight different airport were told that cost there would reimbursed then waited hours luggage then took Londons City Airport fare roughly When filed claim with British Airways they refused claim told that plenty time make connecting flight therefore they denied claim reimbursed fare This after explained that British Airways employees ushered rebook flight despite minute timeframe make connecting flight person rebooked told policy that they close gate minutes prior departure will never this awful airline again Given other feedback this site appears that that overwhelming sentiment,1
1,"""I’ll never fly with them again""",We started our day with BA in Prague. The flight actually left on time! I came to find out that’s very unusual. We purchased business class seats. As you can see from the picture they hardly were business class. All they did was block off the middle seat in the first few rows and called it business class. Horrible flight. In addition I had a really rude rude check in clerk basically yell at me when I excused myself and asked if she could give a little bit of priority to the many business class passengers who weren’t being served. Then we got to Heathrow and the real fun began. We had a 4 hour delay. They gave us about 5 different excuses for the delay. I had a few employees walk away while I was asking them questions. They were very rude. At one point there were no employees left. And from the announcements it seems virtually every BA flight was delayed. And there were no weather issues. There was no place to comfortably store items in business class. I’ve never experienced that before. Not even a cup holder for my bottle of water. The seat controls didn’t work well. You had to keep pushing the buttons to get them to do anything. The power outlet didn’t work. There was no internet the entire flight. The overhead luggage bin was too heavy. I almost got a hernia having to close it. This is a horrible airline. I’ll never fly with them again. If I could give zero stars I would.,started with Prague flight actually left time came find that’s very unusual purchased business class seats from picture they hardly were business class they block middle seat first rows called business class Horrible flight addition really rude rude check clerk basically yell when excused myself asked could give little priority many business class passengers weren’t being served Then Heathrow real began hour delay They gave about different excuses delay employees walk away while asking them questions They were very rude point there were employees left from announcements seems virtually every flight delayed there were weather issues There place comfortably store items business class I’ve never experienced that before even holder bottle water seat controls didn’t work well keep pushing buttons them anything power outlet didn’t work There internet entire flight overhead luggage heavy almost hernia having close This horrible airline I’ll never with them again could give zero stars would,1
1,"""the worst of the worst""",I fly British Airways weekly not because I want to but because they own the route there’s no other option therefore they frankly don’t have to care about the customer. The flights are always delayed and it’s always someone else’s fault be it weather delays to incoming aircraft or flight traffic control issues I’ve heard it all and for the life of me cannot understand why they are allowed to operate. I’ve been around the world and traveled with all of the world’s airlines but British Airways are really the worst of the worst. It’s such a shame to have watched what used to be a good company fall down a cliff. My advice is if you have an option to fly with anyone else then exercise the option but if you’re flying with different connections and you have a tight schedule do not expect BA to get you to your destination in time.,British Airways weekly because want because they route there’s other option therefore they frankly don’t have care about customer flights always delayed it’s always someone else’s fault weather delays incoming aircraft flight traffic control issues I’ve heard life cannot understand they allowed operate I’ve been around world traveled with world’s airlines British Airways really worst worst It’s such shame have watched what used good company fall down cliff advice have option with anyone else then exercise option you’re flying with different connections have tight schedule expect your destination time,1
